name,category,in_bishan,live,dtc,email,whatsapp,website,facebook,instagram,wa_group,wa_group_admin,slug,page_url,description
Sleep Space,Bedroom,,False,False,jacq@sleepspace.com.sg,88541265,https://www.sleepspace.com.sg/,https://www.facebook.com/sleepspace,https://www.instagram.com/sleepspacesg,,5970,sleepspace,https://findgroupbuy.com/brand/sleepspace,"Discover better sleep with SleepSpace — where comfort meets choice. Test over 25 models from leading brands in our showroom, including pocket spring, natural latex, foam, hybrid and cooling mattresses. We also offer Singapore’s widest range of sizes — from local to international and fully custom — so you can find your perfect fit in both comfort and dimensions."
Cosmos Decor Carpentry Singapore,Carpentry,,False,False,cosmosdecor1@gmail.com,98806353,https://www.cosmosdecor.com/,https://www.facebook.com/Cosmosdecorsingapore,https://www.instagram.com/cosmosdecorsingapore/,,5970,cosmos-decor,https://findgroupbuy.com/brand/cosmos-decor,"Cosmos Decor is a trusted carpentry specialist in Singapore, dedicated to transforming residential and commercial spaces with high-quality custom-made carpentry solutions. From built-in wardrobes and kitchen cabinets to custom woodwork, we bring your ideas to life with precision, functionality, and style. At Cosmos Decor, we take pride in our craftsmanship, attention to detail, and commitment to customer satisfaction."
Yale Home,Access and Locks,yes,True,False,lhuishin00@gmail.com,88177402,https://www.yalesmart.com/sg/,Yale Home Singapore,yalehomesg,,5590,yale,https://findgroupbuy.com/brand/yale,"Yale is trusted by millions of people every day to keep what's important to them sate. Our innovations have protected their homes, families and belonging for over 180 years. We have expanded from a leader in mechanical lock engineering to innovating connected smart locks and homes. Because we always make every effort to push the boundaries in a changing world. We were there for your grandparents (and probably theirs) and we'll be there for your children. Today, and every day to come."
Chowa Cleaning,Services,yes,True,False,hello@chowacleaning.com,88877528,chowacleaning.com,Facebook.com/chowacleaning,instagram.com/chowacleaning,,5970,chowa-cleaning,https://findgroupbuy.com/brand/chowa-cleaning,"Chowa Cleaning is a trusted home cleaning services provider in Singapore  We care deeply about the details: the hidden corners, the fine finishes, the little touches that make a huge difference.   We believe in creating a seamless and comforting cleaning experience for homeowners, one that feels less like a service and more like a shared journey. From the first conversation to the final walkthrough, we take pride in being part of your space transformation, treating your home with the same respect and care we would with our own.  Our solutions include: * Post Renovation Cleaning * RotoWash™ Deep Floor Subbing * Bona™ Floor Coating * Cement Stain Removal * Upholstery Cleaning * And more...  Here at Chowa Cleaning, we only use professional grade equipments, packing the power you need for a deep clean - far beyond that of household tools and appliances.  With Chowa Cleaning, it's not just about a clean home; we live for that ‘wow’ moment when you see your dream space come to life after clearing up the renovation mess!"
Uniqool,Bathroom,yes,True,False,enquiry@uniqool.com.sg,96279987,www.uniqool.com.sg,https://www.facebook.com/Uniqool/,https://www.instagram.com/uniqool24/,,5590,uniqool-bathroom,https://findgroupbuy.com/brand/uniqool-bathroom,"Uniqool is a Singapore home improvement store providing an one-stop solutions and quality fittings for your home which include bathroom & kitchen fittings, ceiling fans, water closet, water heaters. We supply a wide variety of showers, bathroom & kitchen fittings, water heaters andceiling fans. Notable luxury brands that we carry includes Kohler, Grohe, Gessi, Rubine,Franke & American Standards. All our products are carefully selected to meet customersdemand of high quality at reasonable prices. With over 1000 different products, we are your one-stop home solution provider! At Uniqool, customer satisfaction is our utmost priority, and we ensure that every job isdone to the highest and best service standards. By providing quality furnishings at anaffordable price, we are confident that every home would look good on a budget."
ACT Hardware,Home Improvement & Tools,yes,True,False,conan@acthardware.com.sg,80302202,https://www.acthardware.com.sg/,https://www.facebook.com/acthardware.com.sg/,https://www.instagram.com/act.hardware/,,5970,act-hardware,https://findgroupbuy.com/brand/act-hardware,"We are wholesaler of Power Tools and Hand tools in Singapore for top international brands like Makita, Dewalt, Bosch, Milwaukee, Ingco, Nitti and many more."
Heveya,Bedroom,yes,True,True,benny@heveya.sg,89206683,https://www.heveya.sg/,https://www.facebook.com/heveyasg/,https://www.instagram.com/heveyasg/,,5590,heveya,https://findgroupbuy.com/brand/heveya,"We are a sustainable bedding brand focusing on natural organic latex mattresses, bed frames, and bedding accessories."
House & Homme Pte Ltd,Carpentry,yes,True,False,hello@houseandhomme.com,80192322,www.houseandhomme.com,,,,5970,oppolia,https://findgroupbuy.com/brand/oppolia,"House & Homme are the distributors for Oppolia products.   Oppolia is a professional cabinetry manufacturer and we provide a one stop service solutions for luxury kitchen cabinets, wardrobes, interior doors and storage solutions."
Laminate Door,Door,yes,True,False,sales@laminatedoor.com.sg,88829166,https://www.laminatedoor.com.sg/,https://www.facebook.com/laminatedoor,https://www.instagram.com/laminatedoor/,,5970,laminate-door,https://findgroupbuy.com/brand/laminate-door,"As Singapore’s largest distributor of high quality doors and gates, we don’t just sell — we deliver excellence through every product we install and every service we provide. Our mission is clear: to be the most trusted name in our industry, and we live that mission every day.  Laminate Door Pte Ltd is proud to be a pioneer and innovator in the interior design door and gate sector. We introduced Singapore’s first anti-bacterial laminate doors, laminate gates, and our signature Wall Art Design Gates (WAG) — redefining both functionality and aesthetics.  With a dedicated team of skilled craftsmen, we ensure that every product is a perfect blend of precision and creativity. We don’t just build doors and gates — we turn your ideas into elegant, secure, and lasting solutions.  To further enhance your security and convenience, we offer a curated range of premium digital smart locks for both doors and gates — because your safety is our top priority.  At Laminate Door Pte Ltd, your vision is our blueprint. Experience design, durability, and trust — all in one place."
Hipvan,Furniture,yes,True,False,jaslyn@hipvan.com,80685970,https://www.hipvan.com/,https://www.facebook.com/hipvanhome/,https://www.instagram.com/hipvanhome?igsh=MWdhYzI5NXM2YjUxdQ==,,5970,hipvan,https://findgroupbuy.com/brand/hipvan,"At HipVan, we believe building your dream home should be fun, simple, and within reach. Discover over 10,000 thoughtfully designed furniture, homeware, and appliance pieces — and mix and match to create a cosy space that’s stylish, affordable, and feels truly yours."
PRISM+,Smart Home,yes,True,False,corporate2@prismplus.sg,88863959,https://prismplus.sg/,https://www.facebook.com/prismplus/,https://www.instagram.com/prismplus/?hl=en,,5590,prismplus,https://findgroupbuy.com/brand/prismplus,"Renowned for our quality, customer service, and unrivalled prices, PRISM+ is a trusted Singaporean brand that offers world-class electronics and appliances for every household."
Studio Living,Furniture,,True,False,bizdev@dbizops.com,80695761,www.studioliving.sg,,,,1021,fgb-demo,https://findgroupbuy.com/brand/fgb-demo,
Deshdoor,Door,,True,False,shawn@deshingroup.com,92317826,https://deshingroup.com/full-product,,https://www.instagram.com/deshdoor/,,5970,desh-door,https://findgroupbuy.com/brand/desh-door,"Deshdoor provides modern aluminium doors for homeowners looking for something beyond the ordinary. Our doors are built with aluminium frames and honeycomb cores for durability, stability, and a clean finish.  Whether you’re renovating or planning ahead, we’re here to help you choose the right door solution with confidence."
BuildYourDesks,Furniture,yes,True,False,hello@findgroupbuy.com,88784758,https://buildyourdesks.com/,,https://www.instagram.com/byd.sg/,,5970,buildyourdesk,https://findgroupbuy.com/brand/buildyourdesk,"We specialize in electric standing desks and fully customizable workstations designed to fit your space, style, and workflow. Whether you’re working from home, gaming, or setting up an office, our desks combine function, comfort, and modern design.   ✨ What makes us different? • We can custom-make desks to your preferred size – just share your dimensions and we’ll prepare a quotation for you. • Choose from a wide selection of solid woods and engineered wood table tops. • Ergonomic electric frames with height adjustability, strong load capacity, and sleek finishes.   Your space, your style, your desk; built your way 💻✨"
Graviar,Lighting and Fans,,False,False,fgbadmin@graviar.com,83312778,,,,,5590,graviar,https://findgroupbuy.com/brand/graviar,
Yuen Tong Hong,Access and Locks,yes,True,False,yuentonghongsales@gmail.com,80834547,,yuentonghongsales@gmail.com,,,5970,yuen-tong-hong,https://findgroupbuy.com/brand/yuen-tong-hong,"Established in March 1962, Yuen Tong Hong was part of a trade union comprising purely of hardware merchants dealing in iron and brassware for the carpentry, building and engineering industries."
Aspire Lightings Pte Ltd,Lighting and Fans,yes,True,False,aspirelights@gmail.com,86858188,https://www.aspirelights.com,https://www.facebook.com/aspirelightings/,https://www.instagram.com/aspirelights,,5590,aspire-lightings,https://findgroupbuy.com/brand/aspire-lightings,Wholesale Retail LED Lightings & Bathroom Sanitary Store
HM Gallery,Window,,False,False,shereen@hmworldgroup.com,,,,,,5590,hm-gallery,https://findgroupbuy.com/brand/hm-gallery,
Trusted Fix Singapore,Services,yes,True,False,hello@trustedfix.sg,80725820,trustedfix.sg,,https://share.google/Pwm8kHt2ysy9a9f6H,,5590,trustedfix-sg,https://findgroupbuy.com/brand/trustedfix-sg,"Your Trusted SG Contractor for Handyman, Plumbing & Electrical -  Trusted by 1,000+ happy customers"
Floorrich,Floor,yes,True,False,findgroupbuy@floorrich.com,84440099,https://www.floorrich.com/,https://www.facebook.com/floorrich.sg/,https://www.instagram.com/floorrich.sg/,,5590,floorrich,https://findgroupbuy.com/brand/floorrich,"Floorrich is one of Singapore most trusted flooring brand, with over 16 years of experience.  Floorrich™ MISSION: To install quality flooring that will last for generations. Powered by innovative technology.  Floorrich™ provides comprehensive collection of popular vinyl flooring options to suit every home decor design trends and budget.  We provide in house professional installation team that are trained and paid careful attention to every detail, ensuring every area fit perfectly.  We believe that floor renovation should not be a headache. From your first consultation to completion, our flooring experts will handle every technical details so that you can have a peace of mind.  ✅eco-friendly materials (low in formaldehyde) certified by Singapore Green Building Council ✅FLOORRICH™ GUARANTEE & WARRANTY  Let our flooring specialists help you find the perfect flooring match for your home’s unique decor."
CIRCLE 96,Services,,False,False,contact@circle96.com,88353465,www.circle96.com,https://www.facebook.com/CIRCLE96LLP,,,5970,circle96,https://findgroupbuy.com/brand/circle96,Modern Feng Shui Wealth Sector Enhancement Service S$388.
Ruhens,Water Dispenser,,True,False,marketing@ruhens.com.sg,91817589,www.ruhens.com.sg,ruhenssingapore,ruhenssg,,5590,ruhens,https://findgroupbuy.com/brand/ruhens,"Ruhens is a trusted home-health technology brand with over 35 years of expertise in advanced water purification systems. It focuses on quality, safety and innovation, investing in R&D and patented technology to deliver advanced water purification systems. Ruhens also provides full-service support from pre-sale advice to after-sales care and operates showrooms in Singapore. Ensuring that you get the most suitable, highly-effective product for your room or house."
Esperto Paintworks,Services,yes,True,False,hngstantly@gmail.com,97887113,www.espertopaintworks.com,Esperto Paintworks,esperto_sg,,5590,esperto-paintworks,https://findgroupbuy.com/brand/esperto-paintworks,
YU HOME,Home and Living,,True,False,valgoh@yuhome.com.sg,86860666,https://yuhome.com.sg/,,,,5590,yuhome,https://findgroupbuy.com/brand/yuhome,
Omnishade,Window,yes,True,False,sales@buildcoreadvisory.com,80222902,www.omnishadesg.com,sales@buildcoreadvisory.com,https://www.instagram.com/omnishade.sg/,,5970,omnishade,https://findgroupbuy.com/brand/omnishade,"OmniShade SG is a Singapore-based specialist in premium indoor and outdoor blind systems, delivering functional, stylish, and durable shading solutions for modern homes and commercial spaces.  We provide customized blind installations tailored to your space, with a wide range of colour themes and material options to complement your interior and exterior design. Our solutions are built to withstand Singapore’s climate — offering waterproof, UV sunshade, pest-free, and pet-friendly options for enhanced comfort and protection.  At OmniShade SG, we focus on quality workmanship, precise measurement, and professional installation to ensure long-lasting performance and customer satisfaction. With over 2 years of establishment and a growing portfolio of successful projects, we are committed to helping homeowners create cooler, more comfortable living environments.  From consultation to installation, OmniShade SG delivers reliable shading solutions you can trust."
Helpling Singapore,Services,yes,True,True,marketing.sg@helpling.com,80685970,https://www.helpling.com.sg/,https://www.facebook.com/helpling.sg/,https://www.instagram.com/helpling.sg/,,,helpling,https://findgroupbuy.com/brand/helpling,"🌟 Voted No.1 Home Service App in Singapore 🧹 Hotel-quality home cleaning from $21/hr 📋 50-point cleaning checklist 🫶🏻 Trusted by 450,000+ homes"
Guan Seng Electrical,Lighting and Fans,yes,True,False,shop.guansengsg@gmail.com,67107533,https://guansengelectrical.com/,,,,5970,guanseng-electrical,https://findgroupbuy.com/brand/guanseng-electrical,"Welcome to Guan Seng Electrical! With a legacy dating back to 1977, we've become a trusted household name throughout Singapore. Our passion lies in offering top-notch switches, fans, and lights to illuminate and enhance your living spaces."
Fullsun Sanitary Wares & Fittings,Bathroom,yes,True,False,fullsunsocialmedia@gmail.com,83669294,https://www.fullsun.com.sg/?srsltid=AfmBOoqUtEsEnkxnrxAnAuPeaKUTbWgMbtfJBPW9I1_RkhPAR0Wb9XL2,https://www.facebook.com/share/1Hyrw1aq3K/?mibextid=wwXIfr,https://www.instagram.com/fullsunmarketing?igsh=YzZrMnFnaTV4dW4x&utm_source=qr,,1021,fullsun,https://findgroupbuy.com/brand/fullsun,Leading supplier of premium bathroom fittings from TOTO.
Dekor Singapore,Floor,yes,True,False,admin@dekor.com.sg,82753421,https://www.dekor.com.sg/,https://www.facebook.com/share/18PFGtL32A/?mibextid=wwXIfr,https://www.instagram.com/dekor.sg?igsh=b3ozYjQxOXpyMnoy&utm_source=qr,,1021,dekorsg,https://findgroupbuy.com/brand/dekorsg,"We specialize in high-quality tiles designed to elevate modern spaces with style and durability. Our curated collections offer a wide range of designs, from timeless classics to contemporary statement pieces. With a focus on quality and design, we provide tiles that suit both residential and commercial projects."
Jing Yit Service Pte Ltd (Aircon Company),Air Condition,,True,False,jingyitservice@gmail.com,97795666,https://jingyitairconservicing.sg/,,,,1021,jingyit-aircon,https://findgroupbuy.com/brand/jingyit-aircon,"Jing Yit Service Pte Ltd specialises in aircon installation for BTO and new homeowners in Singapore.  We provide complete installation solutions, including system recommendation, piping work, trunking, and professional setup to ensure long-term reliability.  Our team focuses on proper workmanship, neat finishing, and honest advice — helping homeowners avoid common installation issues in the future.  ✔ Experienced in BTO projects ✔ Transparent pricing (no hidden cost) ✔ Quality materials & proper installation ✔ After-sales support you can rely on  We are committed to delivering a smooth and stress-free experience for your new home."
